Scenario,Detector,Window,Seed,total_timesteps,attack_timesteps,clean_timesteps,total_alarms,TP,FN,FP,TN,precision,recall,f1,fpr,accuracy
random,isolation_forest,10,0,10000,3090,6910,3664,2703,387,961,5949,0.7377183406113537,0.874757281553398,0.8004145691442108,0.13907380607814762,0.8652
random,isolation_forest,10,1,10000,3619,6381,4564,3289,330,1275,5106,0.7206397896581945,0.9088145896656535,0.8038616644262495,0.1998119417019276,0.8395
random,isolation_forest,10,2,10000,3509,6491,4566,3208,301,1358,5133,0.7025843188786685,0.914220575662582,0.7945510835913312,0.2092127561238638,0.8341
random,isolation_forest,10,3,10000,3340,6660,4738,3122,218,1616,5044,0.6589278176445758,0.9347305389221557,0.7729636048526863,0.24264264264264265,0.8166
random,isolation_forest,15,0,10000,3090,6910,4485,2726,364,1759,5151,0.6078037904124861,0.8822006472491909,0.7197359735973597,0.25455861070911723,0.7877
random,isolation_forest,15,1,10000,3619,6381,5281,3282,337,1999,4382,0.6214732058322288,0.9068803536888643,0.7375280898876405,0.31327378153894375,0.7664
random,isolation_forest,15,2,10000,3509,6491,5248,3177,332,2071,4420,0.6053734756097561,0.9053861499002565,0.7255909558067831,0.31905715606224,0.7597
random,isolation_forest,15,3,10000,3340,6660,5461,3131,209,2330,4330,0.5733382164438747,0.9374251497005988,0.7115100556754914,0.34984984984984985,0.7461
random,isolation_forest,20,0,10000,3090,6910,5047,2700,390,2347,4563,0.5349712700614226,0.8737864077669902,0.663635246405309,0.33965267727930537,0.7263
random,isolation_forest,20,1,10000,3619,6381,5562,3197,422,2365,4016,0.5747932398417835,0.8833932025421387,0.6964382964818646,0.37063156245102646,0.7213
random,isolation_forest,20,2,10000,3509,6491,5720,3126,383,2594,3897,0.5465034965034965,0.8908520946138501,0.6774298407194712,0.3996302572793098,0.7023
random,isolation_forest,20,3,10000,3340,6660,6023,3119,221,2904,3756,0.5178482483812054,0.9338323353293413,0.6662394531667201,0.436036036036036,0.6875
random,isolation_forest,25,0,10000,3090,6910,5484,2690,400,2794,4116,0.49051787016776077,0.8705501618122977,0.6274784231397248,0.40434153400868306,0.6806
random,isolation_forest,25,1,10000,3619,6381,6079,3204,415,2875,3506,0.527060371771673,0.8853274385189279,0.6607547948030522,0.45055633913179755,0.671
random,isolation_forest,25,2,10000,3509,6491,6556,3244,265,3312,3179,0.49481391092129345,0.9244799088059276,0.6446100347739692,0.5102449545524572,0.6423
random,isolation_forest,25,3,10000,3340,6660,6487,3134,206,3353,3307,0.48312008632649917,0.9383233532934132,0.637834537498728,0.5034534534534535,0.6441
random,isolation_forest,5,0,10000,3090,6910,3098,2680,410,418,6492,0.8650742414460942,0.8673139158576052,0.8661926308985133,0.06049204052098408,0.9172
random,isolation_forest,5,1,10000,3619,6381,3731,3240,379,491,5890,0.8683998927901367,0.8952749378281293,0.8816326530612244,0.07694718696129134,0.913
random,isolation_forest,5,2,10000,3509,6491,3448,3026,483,422,6069,0.8776102088167054,0.8623539469934455,0.8699151933304585,0.0650130950546911,0.9095
