Scenario,Detector,Window,PRECISION_Mean,PRECISION_CI,RECALL_Mean,RECALL_CI,F1_Mean,F1_CI,ACCURACY_Mean,ACCURACY_CI,FPR_Mean,FPR_CI
random,isolation_forest,5,0.853752744,0.053525486,0.889169832,0.050702944,0.870216564,0.012890845,0.91025,0.010734566,0.079104072,0.038594161
random,isolation_forest,10,0.704967567,0.053910695,0.908130746,0.039609321,0.792947731,0.022064011,0.83885,0.031988071,0.197685287,0.068711089
random,isolation_forest,15,0.601997172,0.032425675,0.907973075,0.036046607,0.723591269,0.017408028,0.764975,0.027599772,0.30918485,0.063328882
random,isolation_forest,20,0.543529064,0.038090174,0.89546601,0.042190135,0.675935709,0.023742615,0.70935,0.028423569,0.386487633,0.065431984
random,isolation_forest,25,0.49887806,0.030868178,0.904670216,0.050846811,0.642669448,0.022220018,0.6595,0.03061413,0.46714907,0.079004237
random,lof,5,0.839393046,0.06622696,0.911054949,0.039808677,0.872809214,0.021652932,0.909975,0.019323318,0.090667572,0.048500897
random,lof,10,0.683412616,0.038696662,0.941199416,0.020996971,0.791529814,0.020986602,0.831825,0.027245834,0.225006542,0.055044044
random,lof,15,0.589134535,0.058461887,0.937171108,0.029482276,0.722628298,0.035650673,0.756425,0.034412232,0.335730139,0.062002939
random,lof,20,0.532855409,0.028822929,0.946564349,0.023293744,0.681625418,0.020695887,0.7005,0.031249883,0.42652341,0.067843527
random,lof,25,0.493246785,0.029354881,0.949597563,0.02627036,0.648979143,0.022273603,0.6521,0.03488688,0.501275371,0.075269927
random,ocsvm,5,0.83647533,0.054871625,0.910082717,0.040778313,0.870990443,0.018213554,0.90865,0.016329754,0.092651956,0.042908086
random,ocsvm,10,0.682098139,0.042493969,0.943824767,0.019394379,0.791562907,0.025729092,0.83155,0.026904222,0.226570725,0.051554643
random,ocsvm,15,0.590253533,0.059458435,0.934329578,0.033783869,0.722549216,0.035482394,0.757125,0.032985401,0.33307297,0.060497457
random,ocsvm,20,0.534184204,0.035189722,0.942861555,0.023858071,0.681644771,0.02456469,0.701875,0.027555396,0.422068728,0.057678219
random,ocsvm,25,0.491640743,0.038672969,0.95337369,0.028498395,0.64827789,0.029130528,0.6494,0.04586239,0.507105747,0.089046011
standard,isolation_forest,5,0.830570446,0.043048291,0.971887554,0.0148339,0.895397887,0.019938524,0.923025,0.017065142,0.102215379,0.033528053
standard,isolation_forest,10,0.688144029,0.041267663,0.964053899,0.018478414,0.802724103,0.023754097,0.8391,0.030660961,0.225808042,0.059565716
standard,isolation_forest,15,0.59224409,0.026813982,0.96352675,0.016336833,0.733416699,0.01843664,0.762775,0.024584741,0.340862854,0.053025744
standard,isolation_forest,20,0.540660581,0.031032617,0.957020324,0.01743923,0.690730849,0.022560532,0.7099,0.02562841,0.417283871,0.053249491
